Attribute,Level,Estimate,Std. Err,p_raw,sig,data,respondents,order,var.names
Presidential election,Presidential election,-0.02379431,0.008035326,0.003064303,TRUE,data2,1583,2,Presidential election
Congressional election,Congressional election,-0.001074936,0.008030969,0.893522061,FALSE,data3,1583,1,Congressional election
